Offense,	Team,	POS,	Fan Pts,	PassYds,	PassTD,	PassInt,	Sack,	Pick Six,	RushAtt,	RushYds,	RushTD,	RecYds,	RecTD,	RecTgt,	RetTD,	2PT,	FumTot,	FumLost,,,,
Tyler Allgeier,Atl,RB,137.60,147,147,0,0,0,0,0,186,683,4,18,193,1,23,0,1,0,0,
Tee Higgins,Cin,WR,137.60,59,59,0,0,0,0,0,0,0,0,42,656,5,76,0,0,0,0,
Kyle Pitts,Atl,TE,137.30,77,77,0,0,0,0,0,1,-4,0,53,667,3,90,0,0,0,0,
Dallas Goedert,Phi,TE,136.30,115,115,0,0,0,0,0,1,1,0,59,592,3,83,0,0,0,0,
Hollywood Brown,KC,WR,134.70,79,79,0,0,0,0,0,2,23,0,51,574,4,101,0,0,0,0,
Mark Andrews,Bal,TE,134.40,57,57,0,0,0,0,0,1,0,0,45,544,6,61,0,0,1,0,
Wan'Dale Robinson,NYG,WR,133.20,195,195,0,0,0,0,0,9,87,1,60,525,1,78,0,0,0,0,
Aaron Jones,Min,RB,132.90,58,58,0,0,0,0,0,142,656,2,30,233,1,43,0,0,2,1,
Alexander Mattison,LV,RB,130.20,218,218,0,0,0,0,0,180,700,0,30,192,3,44,0,0,3,2,
Elijah Moore,Cle,WR,130.10,211,211,0,0,0,0,0,9,11,0,59,640,2,104,0,0,2,2,
Aidan O'Connell,LV,QB,128.82,1991,1991,2218,12,7,24,0,11,1,0,0,0,0,0,0,4,2,,
Josh Reynolds,Den,WR,127.80,291,291,0,0,0,0,0,0,0,0,40,608,5,64,0,0,1,1,
Logan Thomas,Was,TE,124.80,362,362,0,0,0,0,0,1,2,0,55,496,4,78,0,1,2,2,
Jahan Dotson,Was,WR,124.80,144,144,0,0,0,0,0,0,0,0,49,518,4,83,0,0,0,0,
Antonio Gibson,NE,RB,123.40,16,16,0,0,0,0,0,65,265,1,48,389,2,59,0,0,4,2,
Jonnu Smith,Mia,TE,123.20,215,215,0,0,0,0,0,1,0,0,50,582,3,70,0,0,1,1,
Tyler Conklin,NYJ,TE,123.10,229,229,0,0,0,0,0,1,0,0,61,621,0,87,0,0,0,0,
Joe Flacco,Ind,QB,122.84,358,358,1616,13,8,8,0,9,2,0,0,0,0,0,0,1,4,1,
KJ Osborn,NE,WR,119.00,316,316,0,0,0,0,0,0,0,0,48,540,3,75,0,0,1,0,
Hunter Henry,NE,TE,118.90,160,160,0,0,0,0,0,0,0,0,42,419,6,61,0,0,1,0,
Kareem Hunt,Cle,RB,118.50,304,304,0,0,0,0,0,135,411,9,15,84,0,21,0,0,0,0,
Samaje Perine,Den,RB,118.30,307,307,0,0,0,0,0,53,238,1,50,455,0,56,0,0,3,2,
AJ Dillon,GB,RB,117.60,199,199,0,0,0,0,0,178,613,2,22,223,0,28,0,0,0,0,
Dontayvion Wicks,GB,WR,116.76,141,141,0,0,0,0,0,1,1,0,39,581,4,58,0,0,3,1,
Cade Otton,TB,TE,115.50,162,162,0,0,0,0,0,0,0,0,47,455,4,67,0,1,1,1,
Bryce Young,Car,QB,115.38,205,205,2877,11,10,62,0,39,253,0,0,0,0,0,0,2,11,6,
Michael Wilson,Ari,WR,114.50,154,154,0,0,0,0,0,0,0,0,38,565,3,58,0,1,0,0,
DJ Chark,LAC,WR,113.50,253,253,0,0,0,0,0,0,0,0,35,525,5,66,0,0,2,1,
Mac Jones,Jax,QB,113.40,1988,1988,2120,10,12,22,0,26,96,0,0,0,0,0,0,0,3,2,
Chigoziem Okonkwo,Ten,TE,113.40,168,168,0,0,0,0,0,2,6,0,54,528,1,77,0,0,0,0,
Darren Waller,NYG,TE,113.20,359,359,0,0,0,0,0,0,0,0,52,552,1,74,0,0,0,0,
Tutu Atwell,LAR,WR,112.40,244,244,0,0,0,0,0,5,31,0,39,483,3,67,0,2,0,0,
Khalil Shakir,Buf,WR,112.10,132,132,0,0,0,0,0,1,10,0,39,611,2,45,0,0,1,0,
Khalil Herbert,Chi,RB,111.50,136,136,0,0,0,0,0,132,611,2,20,134,1,31,0,1,1,1,
Tyler Higbee,LAR,TE,108.50,305,305,0,0,0,0,0,0,0,0,47,495,2,70,0,0,0,0,
Justice Hill,Bal,RB,108.30,243,243,0,0,0,0,0,84,387,3,28,206,1,39,0,0,1,1,
Gerald Everett,Chi,TE,108.10,303,303,0,0,0,0,0,3,10,0,51,411,3,70,0,0,3,0,
Odell Beckham Jr,Mia,WR,106.50,293,293,0,0,0,0,0,0,0,0,35,565,3,64,0,0,1,1,
Zach Charbonnet,Sea,RB,106.10,121,121,0,0,0,0,0,108,462,1,33,209,0,40,0,0,0,0,
Jaleel McLaughlin,Den,RB,106.00,146,146,0,0,0,0,0,76,410,1,31,160,2,36,0,0,0,0,
Joshua Palmer,LAC,WR,105.70,129,129,0,0,0,0,0,1,6,0,38,581,2,61,0,0,1,1,
DeMario Douglas,NE,WR,104.20,170,170,0,0,0,0,0,8,41,0,49,561,0,79,0,0,3,1,
Rondale Moore,Atl,WR,104.00,378,378,0,0,0,0,0,28,178,1,40,352,1,62,0,0,1,0,
Noah Brown,Hou,WR,101.60,332,332,0,0,0,0,0,1,-1,0,33,567,2,55,0,0,0,0,
Christian Watson,GB,WR,101.30,97,97,0,0,0,0,0,4,11,0,28,422,5,53,0,0,0,0,
Kenny Pickett,Phi,QB,101.20,2457,2457,2070,6,4,23,0,42,54,1,0,0,0,0,0,2,0,,
Roschon Johnson,Chi,RB,101.10,175,175,0,0,0,0,0,81,352,2,34,209,0,40,0,0,1,0,
Isaiah Likely,Bal,TE,101.10,184,184,0,0,0,0,0,0,0,0,30,411,5,40,0,0,0,0,
Ty Chandler,Min,RB,101.00,137,137,0,0,0,0,0,102,461,3,21,159,0,25,0,0,0,0,
Kendrick Bourne,NE,WR,99.00,207,207,0,0,0,0,0,1,4,0,37,406,4,55,0,0,1,1,
Juwan Johnson,NO,TE,97.80,233,233,0,0,0,0,0,0,0,0,37,368,4,59,0,0,0,0,
Khalif Raymond,Det,WR,96.40,1943,1943,0,0,0,0,0,7,75,0,35,489,1,44,0,0,1,0,
Nelson Agholor,Bal,WR,96.10,1947,1947,0,0,0,0,0,0,0,0,35,381,4,45,0,0,1,0,
Alec Pierce,Ind,WR,95.40,275,275,0,0,0,0,0,0,0,0,32,514,2,65,0,0,0,0,
Kenneth Gainwell,Phi,RB,94.38,210,210,0,0,0,0,0,84,364,2,30,183,0,37,0,1,3,1,
Quentin Johnston,LAC,WR,94.00,180,180,0,0,0,0,0,3,9,0,38,431,2,67,0,0,0,0,
Trey Palmer,TB,WR,92.70,256,256,0,0,0,0,0,3,22,0,39,385,3,68,0,0,3,1,
Rico Dowdle,Dal,RB,91.50,130,130,0,0,0,0,0,89,361,2,22,144,2,44,0,0,0,0,
D'Onta Foreman,Cle,RB,90.20,224,224,0,0,0,0,0,109,425,4,11,77,1,16,0,0,1,0,
Michael Thomas,NO,WR,89.80,367,367,0,0,0,0,0,0,0,0,39,448,1,64,0,0,0,0,
Robert Woods,Hou,WR,89.30,299,299,0,0,0,0,0,1,7,0,40,426,1,75,0,0,0,0,
Justin Watson,KC,WR,88.00,1952,1952,0,0,0,0,0,0,0,0,27,460,3,53,0,0,1,1,
Michael Gallup,Dal,WR,87.80,1957,1957,0,0,0,0,0,0,0,0,34,418,2,57,0,0,0,0,
Will Levis,Ten,QB,87.02,169,169,1808,8,4,28,0,25,57,1,0,0,0,0,0,1,7,4,
Jerick McKinnon,KC,RB,86.36,282,282,0,0,0,0,0,21,60,1,25,192,4,32,0,0,0,0,
Zach Wilson,Den,QB,85.94,2118,2118,2271,8,7,46,0,36,211,0,0,0,0,0,0,2,11,7,
Miles Sanders,Car,RB,85.60,206,206,0,0,0,0,0,129,432,1,27,154,0,41,0,0,2,2,
Demarcus Robinson,LAR,WR,85.40,188,188,0,0,0,0,0,1,23,0,26,371,4,39,0,0,2,1,
Nick Westbrook-Ikhine,Ten,WR,85.00,322,322,0,0,0,0,0,0,0,0,28,370,3,45,0,1,0,0,
Jonathan Mingo,Car,WR,83.80,237,237,0,0,0,0,0,0,0,0,43,418,0,85,0,0,1,0,
Deshaun Watson,Cle,QB,82.80,151,151,1115,7,0,26,142,1,0,0,0,0,0,0,0,3,5,2,
Dameon Pierce,Hou,RB,82.70,192,192,0,0,0,0,0,145,416,2,13,101,1,0,0,0,0,0,
Latavius Murray,Buf,RB,81.90,345,345,0,0,0,0,0,79,300,1,19,119,0,22,0,0,1,0,
Donald Parham Jr,LAC,TE,79.50,369,369,0,0,0,0,0,0,0,0,27,285,4,41,0,0,0,0,
Tyrod Taylor,NYJ,QB,79.34,2553,2553,1341,5,0,38,197,0,0,0,0,0,0,0,0,0,4,0,
Jameson Williams,Det,WR,79.30,107,107,0,0,0,0,0,3,29,1,24,354,2,42,0,0,1,0,
Tanner Hudson,Cin,TE,79.20,368,368,0,0,0,1,0,0,0,0,39,352,1,50,0,0,0,0,
Darnell Mooney,Atl,WR,78.90,181,181,0,0,0,0,0,2,5,0,31,414,1,61,0,0,0,0,
Tucker Kraft,GB,TE,78.50,226,226,0,0,0,0,0,0,0,0,31,355,2,40,0,0,0,0,
Zay Jones,Ari,WR,78.10,260,260,0,0,0,0,0,0,0,0,34,321,2,64,0,0,0,0,
Pat Freiermuth,Pit,TE,76.80,127,127,0,0,0,0,0,0,0,0,32,308,2,47,0,1,0,0,
Rashod Bateman,Bal,WR,76.50,152,152,0,0,0,0,0,1,18,0,32,367,1,56,0,0,0,0,
Luke Musgrave,GB,TE,75.20,135,135,0,0,0,0,0,0,0,0,34,352,1,46,0,0,0,0,
Nick Mullens,Min,QB,74.74,1928,1928,1306,7,8,12,0,10,25,0,0,0,0,0,0,2,0,,
Tommy DeVito,NYG,QB,73.54,2532,2532,1101,8,3,37,0,36,195,1,0,0,0,0,0,0,2,1,
Brandon Johnson,Den,WR,73.40,1936,1936,0,0,0,0,0,0,0,0,19,284,4,30,0,1,0,0,
Noah Fant,Sea,TE,73.40,165,165,0,0,0,0,0,0,0,0,32,414,0,43,0,0,0,0,
Emeri Demercado,Ari,RB,73.30,311,311,0,0,0,0,0,58,284,2,21,119,0,30,0,0,0,0,
Kylen Granson,Ind,TE,73.00,1927,1927,0,0,0,0,0,1,2,0,30,368,1,50,0,0,0,0,
Zamir White,LV,RB,72.90,64,64,0,0,0,0,0,104,451,1,15,98,0,19,0,0,1,1,
